USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
KS,20043,00484991,Doniphan County,1018914915,12614908,393.405,4.871,39.788502,-95.147225
KS,20045,00484992,Douglas County,1180703878,48598501,455.872,18.764,38.896415,-95.290946
KS,20047,00484993,Edwards County,1610699246,206413,621.894,0.080,37.883595,-99.304746
KS,20049,00484994,Elk County,1668637016,16061128,644.264,6.201,37.456026,-96.244642
KS,20051,00484995,Ellis County,2330762263,1197085,899.912,0.462,38.914596,-99.317329
KS,20053,00484996,Ellsworth County,1854030766,19270049,715.845,7.440,38.700845,-98.205355
KS,20055,00485326,Finney County,3372066552,1794398,1301.962,0.693,38.049808,-100.739967
KS,20057,00484997,Ford County,2844508243,2097359,1098.271,0.810,37.688416,-99.884748
KS,20059,00484998,Franklin County,1480858186,13918274,571.763,5.374,38.558019,-95.278962
KS,20061,00484999,Geary County,996162685,51451918,384.621,19.866,39.002156,-96.768037
KS,20063,00485000,Gove County,2775599149,245369,1071.665,0.095,38.917239,-100.487360
KS,20065,00481811,Graham County,2327173519,599356,898.527,0.231,39.354972,-99.879894
KS,20067,00485099,Grant County,1488724887,892323,574.800,0.345,37.547537,-101.299362
KS,20069,00485001,Gray County,2250356168,1113338,868.867,0.430,37.744513,-100.451716
KS,20071,00485002,Greeley County,2016057984,0,778.404,0.000,38.480404,-101.805970
KS,20073,00485003,Greenwood County,2961133006,24155643,1143.300,9.327,37.879347,-96.241732
KS,20075,00485327,Hamilton County,2580958344,2893322,996.514,1.117,37.995244,-101.793689
KS,20077,00485004,Harper County,2075276144,3913474,801.269,1.511,37.188184,-98.066590
KS,20079,00485005,Harvey County,1397961197,2503283,539.756,0.967,38.050144,-97.436706
KS,20081,00485328,Haskell County,1495773052,910409,577.521,0.352,37.554979,-100.879952
KS,20083,00485006,Hodgeman County,2227369160,826344,859.992,0.319,38.087493,-99.898407
KS,20085,00485007,Jackson County,1699600369,4666514,656.219,1.802,39.411145,-95.794485
KS,20087,00485008,Jefferson County,1379361374,62426286,532.574,24.103,39.239644,-95.375314
KS,20089,00485009,Jewell County,2356321281,11859451,909.781,4.579,39.777010,-98.222584
KS,20091,00485010,Johnson County,1226247743,16750478,473.457,6.467,38.883907,-94.822330
KS,20093,00485011,Kearny County,2254696689,1133601,870.543,0.438,37.994461,-101.308136
KS,20095,00485012,Kingman County,2236099556,8536500,863.363,3.296,37.552951,-98.144529
KS,20097,00485013,Kiowa County,1871627772,596764,722.640,0.230,37.561231,-99.286539
KS,20099,00485014,Labette County,1671305472,20261427,645.295,7.823,37.191468,-95.297473
