GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG 
01504,28774206,825566,11.110,0.319,42.039991,-71.532406 
01505,41586648,9557756,16.057,3.690,42.355049,-71.716157 
01506,40216388,2734658,15.528,1.056,42.180788,-72.107891 
01507,109244212,4178897,42.179,1.613,42.133935,-71.968025 
01510,14642433,4176666,5.653,1.613,42.411887,-71.690005 
01515,25570218,1427831,9.873,0.551,42.209682,-72.040178 
01516,95233279,4020460,36.770,1.552,42.053072,-71.752241 
01518,23005047,1929956,8.882,0.745,42.127477,-72.118818 
01519,28262682,279339,10.912,0.108,42.203404,-71.679739 
01520,46830031,1794650,18.081,0.693,42.336372,-71.850626 
01521,31832963,1990946,12.291,0.769,42.046799,-72.180144 
01522,42423772,1400937,16.380,0.541,42.375634,-71.867382 
01523,65266074,1166195,25.199,0.450,42.483569,-71.675585 
01524,41376342,2508025,15.975,0.968,42.249603,-71.919217 
01525,1162429,81163,0.449,0.031,42.106794,-71.630518 
01527,40346710,1861969,15.578,0.719,42.192246,-71.777649 
01529,12596928,143331,4.864,0.055,42.036642,-71.578779 
01531,53773245,403234,20.762,0.156,42.319125,-72.130814 
01532,47840776,705398,18.471,0.272,42.323342,-71.646236 
01534,22683893,325551,8.758,0.126,42.142074,-71.643348 
01535,55079781,1759511,21.266,0.679,42.267564,-72.066876 
01536,21589199,748441,8.336,0.289,42.231309,-71.692642 
01537,18084549,295746,6.982,0.114,42.158966,-71.897051 
01540,50104202,2048499,19.345,0.791,42.116263,-71.857465 
01541,91769490,1032231,35.432,0.399,42.454125,-71.877540 
01542,10428067,422663,4.026,0.163,42.204251,-71.908907 
01543,90948947,2972529,35.116,1.148,42.388285,-71.969865 
01545,53731509,2717798,20.746,1.049,42.284767,-71.714228 
01550,52418639,1611501,20.239,0.622,42.059737,-72.033908 
01560,9235408,270460,3.566,0.104,42.175395,-71.674223 
01561,319275,0,0.123,0.000,42.443970,-71.685583 
01562,85048712,3040989,32.837,1.174,42.247211,-71.991867 
01564,79294039,2752967,30.616,1.063,42.447924,-71.776045 
01566,73429945,2560917,28.351,0.989,42.103214,-72.079545 
01568,55570131,610353,21.456,0.236,42.176526,-71.603588 
01569,75310392,1580615,29.078,0.610,42.055930,-71.631232 
01570,32005193,5800852,12.357,2.240,42.047532,-71.846952 
01571,53953607,2745002,20.832,1.060,42.053778,-71.935075 
01581,53357557,2228806,20.601,0.861,42.268426,-71.613309 
01583,32682777,2354742,12.619,0.909,42.369417,-71.785036 
01585,66161583,1669172,25.545,0.644,42.240796,-72.162645 
01588,22296366,1649002,8.609,0.637,42.118794,-71.672494 
01590,82912169,4181381,32.013,1.614,42.132051,-71.750318 
01602,14933022,631589,5.766,0.244,42.269189,-71.850728 
01603,11692453,340394,4.514,0.131,42.243826,-71.843569 
01604,16672241,478924,6.437,0.185,42.253254,-71.767957 
01605,14613490,341305,5.642,0.132,42.289683,-71.787793 
01606,15353873,24032,5.928,0.009,42.315249,-71.795741 
01607,8190297,136952,3.162,0.053,42.225974,-71.788894 
01608,1159107,0,0.448,0.000,42.261980,-71.801462 
01609,9893464,56961,3.820,0.022,42.285114,-71.829987 
01610,5505966,9032,2.126,0.003,42.247049,-71.808366 
01611,8914388,647960,3.442,0.250,42.237604,-71.875838 
01612,39662258,1981212,15.314,0.765,42.296798,-71.928991 
01701,43947040,1816965,16.968,0.702,42.319587,-71.442800 
01702,20951465,1972408,8.089,0.762,42.282379,-71.436621 
01718,121367,0,0.047,0.000,42.519816,-71.429283 
01719,26638827,317227,10.285,0.122,42.485985,-71.520985 
01720,51058853,1114408,19.714,0.430,42.483953,-71.438495 
01721,31948334,1395751,12.335,0.539,42.257755,-71.473526 
01730,35485226,462663,13.701,0.179,42.499295,-71.281889 
01731,2051821,0,0.792,0.000,42.456754,-71.279477 
01740,51653513,348725,19.944,0.135,42.439941,-71.601879 
01741,39560420,641489,15.274,0.248,42.536620,-71.361832 
01742,63287949,3359582,24.436,1.297,42.462911,-71.364496 
01745,1033539,3023,0.399,0.001,42.292114,-71.499197 
01746,48280516,1067774,18.641,0.412,42.195951,-71.453430 
01747,13403501,438658,5.175,0.169,42.123007,-71.531404 
01748,67924485,4218835,26.226,1.629,42.224096,-71.540489 
01749,29843257,888432,11.523,0.343,42.389071,-71.545864 
01752,54039263,3201505,20.865,1.236,42.349617,-71.547214 
01754,13487658,407087,5.208,0.157,42.425955,-71.456256 
01756,46029815,552531,17.772,0.213,42.093870,-71.544519 
01757,38578115,706014,14.895,0.273,42.158692,-71.521419 
01760,38367781,2596509,14.814,1.003,42.284822,-71.348811 
01770,40897127,957827,15.790,0.370,42.231947,-71.372963 
01772,35233837,3917459,13.604,1.513,42.302877,-71.530828 
01773,35277802,2009140,13.621,0.776,42.425506,-71.310812 
01775,44856759,1740435,17.319,0.672,42.429688,-71.512514 
01776,62784348,1256070,24.241,0.485,42.383367,-71.421070 
01778,39390202,2068781,15.209,0.799,42.343687,-71.381186 
01801,32765533,802750,12.651,0.310,42.488769,-71.154438 
01803,30301528,323480,11.699,0.125,42.503227,-71.201713 
01810,79843631,3436401,30.828,1.327,42.648044,-71.161751 
01821,42906791,1018584,16.566,0.393,42.549330,-71.251725 
01824,45973397,1007606,17.750,0.389,42.590790,-71.355182 
01826,53528320,1714783,20.667,0.662,42.679723,-71.300680 
01827,42608632,783541,16.451,0.303,42.676149,-71.499772 
01830,35802309,3346041,13.823,1.292,42.796313,-71.053436 
01832,29527393,1251737,11.401,0.483,42.791114,-71.132859 
01833,33301959,750836,12.858,0.290,42.727879,-70.982036 
01834,23000428,1337626,8.881,0.516,42.753900,-71.015935 
01835,20231059,2291969,7.811,0.885,42.751233,-71.094300 
01840,1290418,200629,0.498,0.077,42.706763,-71.160403 
01841,7998544,464106,3.088,0.179,42.712015,-71.164873 
01843,8733380,630617,3.372,0.243,42.689974,-71.160383 
01844,57523294,2026687,22.210,0.783,42.742526,-71.179149 
01845,68071752,3711232,26.283,1.433,42.673909,-71.091334 
01850,3521441,305901,1.360,0.118,42.656045,-71.303309 
01851,8648794,116111,3.339,0.045,42.627812,-71.335330 
01852,12830680,627318,4.954,0.242,42.631912,-71.296025 
01854,10190204,1393284,3.934,0.538,42.649481,-71.348229 
01860,22015030,1031942,8.500,0.398,42.838603,-71.011997 
01862,23932118,1076076,9.240,0.415,42.578543,-71.295592 
01863,11964687,841576,4.620,0.325,42.633780,-71.389470 
01864,34016574,926864,13.134,0.358,42.578222,-71.084398 
01867,25791207,47034,9.958,0.018,42.535183,-71.105423 
01876,52994441,933248,20.461,0.360,42.611801,-71.227571 
01879,43521842,3642315,16.804,1.406,42.667762,-71.428820 
01880,17894083,1396459,6.909,0.539,42.501524,-71.067489 
01886,78334906,2896638,30.245,1.118,42.585541,-71.440250 
01887,43964381,469151,16.975,0.181,42.564647,-71.164516 
01890,15629754,811600,6.035,0.313,42.452752,-71.144319 
01901,641319,68752,0.248,0.027,42.460419,-70.946379 
01902,6223953,235927,2.403,0.091,42.471039,-70.941535 
01904,11712243,1303818,4.522,0.503,42.492456,-70.973930 
01905,9215126,1194005,3.558,0.461,42.465998,-70.975792 
01906,27966375,2599523,10.798,1.004,42.468432,-71.013946 
01907,7860398,1107034,3.035,0.427,42.474145,-70.906597 
01908,2708895,3558667,1.046,1.374,42.428256,-70.926041 
01913,31782255,3783180,12.271,1.461,42.851293,-70.955810 
01915,39081916,3958466,15.090,1.528,42.570665,-70.867583 
01921,61024560,2202724,23.562,0.850,42.683108,-71.018330 
01922,24845065,774070,9.593,0.299,42.757313,-70.914241 
01923,34173652,2374949,13.195,0.917,42.574174,-70.950516 
01929,36167008,5379258,13.964,2.077,42.640420,-70.771172 
01930,67853272,13990373,26.198,5.402,42.619910,-70.681824 
01937,189212,0,0.073,0.000,42.585723,-70.984051 
01938,78799873,13687575,30.425,5.285,42.683860,-70.842666 
01940,27312934,1712201,10.546,0.661,42.534146,-71.038333 
01944,23899472,3211684,9.228,1.240,42.576636,-70.767154 
01945,11345839,8575148,4.381,3.311,42.501835,-70.859126 
01949,34821765,2702320,13.445,1.043,42.606666,-71.010316 
01950,21625345,5972793,8.350,2.306,42.812358,-70.891095 
01951,35658683,6837541,13.768,2.640,42.773351,-70.850211 
01952,39817692,6263855,15.374,2.418,42.844793,-70.841476 
01960,41467103,1461649,16.011,0.564,42.534279,-70.969782 
01966,18108068,4166180,6.992,1.609,42.640715,-70.620248 
01969,45297618,4371212,17.490,1.688,42.720873,-70.891220 
01970,21008342,14198306,8.111,5.482,42.524435,-70.870859 
01982,36720108,1913528,14.178,0.739,42.626223,-70.857230 
01983,30802394,2343650,11.893,0.905,42.641379,-70.943440 
01984,19837004,1248262,7.659,0.482,42.600633,-70.883303 
01985,34828174,3308943,13.447,1.278,42.799565,-70.964428 
02019,47511679,1427981,18.344,0.551,42.076682,-71.474490 
02021,48685682,2112055,18.798,0.815,42.175737,-71.125385 
02025,25346343,2758669,9.786,1.065,42.236444,-70.814309 
02026,26522887,1061991,10.241,0.410,42.246872,-71.179462 
